MEHT (feet),C Marker (feet),Decision Altitude (feet),Vertical Speed at Threshold (feet/min),Wind Speed (knots),Wind Direction (degrees),Runway Condition,PAPI Status
48.1204714612453,583.2969939765285,537.820581775925,578.5561436003213,22.671222846446263,3.5570212310326133,Dry,High
31.22771280877356,707.7001266516647,433.40861562502687,494.84002864727404,12.310612332403718,269.9404886820345,Icy,Low
30.159313070994223,764.6891486995839,378.409853257679,325.4236077262724,22.0329493258072,101.7599400883874,Dry,Mixed
30.401032036099195,954.7958356426956,430.6107650075023,589.5343522605401,8.864487365868403,46.50635634791145,Icy,Low
35.987639376728254,996.8535865592355,539.4458998738905,713.7598314255791,12.54348591380095,310.48626096277985,Dry,Mixed
36.78409104576471,639.9192952325349,537.5033601536023,521.1015605027076,9.592449867715546,323.6393411971244,Snowy,Mixed
41.645642012323734,746.6708619183619,634.016233999773,312.62520480689614,14.00010955053861,0.2719802421911943,Snowy,Mixed
31.45210008560267,535.9280270683216,337.6494406181431,741.6483783970707,20.91275027747651,158.5292541739394,Dry,Mixed
40.98937805802162,725.8233585592707,648.1997780561242,696.8262987917833,3.6289807822560602,157.28728461830534,Wet,Mixed
34.014301209826236,743.4134401248933,582.2353356517995,549.7085643999501,9.56824658929338,73.61026120625289,Wet,Low
39.24655758893298,996.6038145148427,405.7682393039585,518.4727382338763,9.898456012313183,73.66143052641651,Dry,Mixed
41.52167043025213,709.0236154891071,535.440637931838,682.9458998460145,22.188886374415592,165.6397756731412,Wet,Mixed
39.66956517648115,793.3327506437392,302.82355156219387,394.82275285745277,27.452685092053976,26.25967155541844,Icy,Mixed
41.65379918787753,678.6227985664195,624.6618945688538,671.3946012384065,10.414297379890044,200.61997322242982,Snowy,Mixed
43.55507155959412,715.8114563933188,422.25480405431506,685.6412521702657,28.386091687940922,327.8684036668733,Wet,Mixed
35.88654117800574,587.947497908576,636.7754992807052,764.3580973483934,18.89008506143479,201.57609017334792,Dry,Mixed
36.280395823010565,920.1186642166093,463.5399188411128,304.12814450806655,15.282840516172827,66.06410042099894,Snowy,Mixed
40.48041893842732,717.9051321647767,562.071102636377,615.3053355048673,18.49407487609625,0.38718555672528243,Dry,Mixed
39.95582397057548,833.1697516058108,368.522414401885,361.631726498858,13.752923721619212,126.57323305604857,Dry,Mixed
40.46295366465918,804.9567672347678,312.9512342089198,634.5380925744196,14.264167325057022,274.20677166505845,Icy,Mixed
39.73115063629819,564.0243870812479,676.9368663714008,511.60705259098313,16.21702359090267,304.5523555361334,Dry,Mixed
40.704808760080965,921.084949502984,481.43350511776384,405.1258357969083,18.460508243156074,136.77954994548185,Snowy,High
39.246516693697316,761.0265873855558,580.8953030585647,510.23825524137584,27.641603089210676,182.96986616913213,Dry,Mixed
43.637865407229555,815.2571695190014,586.3665347093494,745.9780365176157,29.156294544820803,248.77024832026487,Wet,Mixed
47.007137450693286,524.9845020035565,339.0306073592765,711.4052363751305,12.120841167553925,111.48452817593828,Snowy,Mixed
36.1962025577712,964.9953642529126,482.67943153424727,441.04918483628444,27.849369515330064,238.5881978721593,Wet,Mixed
30.253650824107275,839.71876426018,415.29354147088776,368.7543566771141,27.70468196040342,4.84956269318308,Dry,Mixed
46.74646741956403,813.2689231102131,558.1565235160115,656.1041018876713,16.659143062718577,56.14429357656764,Wet,Mixed
48.96461445296794,607.9334035627049,666.3727992530653,342.9524887307649,24.588370473842026,23.713264152067293,Dry,Mixed
47.60103937870681,685.956241371029,569.9301713092236,430.3736258468439,21.925157101653138,295.65979589931266,Wet,High
41.16922285731462,812.6007523723288,451.537831158358,716.8599370761635,3.1818569714738265,357.7911110762182,Icy,Mixed
30.858758100945746,585.078627294631,529.188347187326,765.9541674352133,19.182545375947537,316.14980132013847,Dry,Mixed
34.94264163376656,895.1377196957562,439.38782785673664,570.7030232082426,27.50565665783484,184.2427810672396,Dry,Low
45.425032435842965,562.637452326844,481.3949331164731,469.0101271624309,23.53545423774053,24.48324448469633,Snowy,High
36.66180605822445,572.7424822539087,313.42426975157053,464.5087078990505,3.186747133796456,179.28694104928195,Dry,Mixed
41.28913942274579,786.9287972822589,396.0873594050201,562.8977832591014,17.884521467836745,163.2595430020108,Icy,High
38.853019408840375,967.2266998179944,449.88196265809,642.0362440680196,14.787208015325918,175.87157788318922,Wet,Mixed
48.98665526187611,990.0893828486884,699.0141712546633,410.8506866091686,18.813014692350638,237.5530225487591,Icy,High
45.64778818539009,772.7139625083487,581.3111661279428,528.447899050631,22.748454123435202,229.51303982211152,Snowy,High
31.904265086496743,708.2894546635557,549.008750330181,387.8954764281507,15.347414592888105,355.60425533632406,Dry,Mixed
34.49982430702829,916.8577224549858,453.1024408153668,677.3318512882249,7.115615205242152,77.59308507424055,Dry,Mixed
43.70443386897549,892.3394958494848,349.1527852751601,364.7575017827096,16.824937818497407,18.51800066937249,Icy,Mixed
33.34550224285817,993.0666802315598,626.0069227132053,335.20714101864604,23.53759128222024,211.61006217217422,Wet,Mixed
33.31656483557216,926.1985288533338,400.4053261337955,473.3468967611931,11.830407064577814,256.59889744949794,Wet,Low
48.29542976033149,818.8849943259806,629.9104014033903,724.8333136714605,2.569405623778432,327.9202850391103,Snowy,Mixed
41.687553842078636,885.4122237245825,385.3203475011433,500.34190963776695,10.663734345224537,333.45593264751636,Snowy,High
43.31735714835574,757.7715669200304,594.9980797026361,647.074006903758,24.203497414571856,65.94526209349536,Dry,Mixed
48.202369869933854,516.8121783118524,673.6331626830569,517.779859175532,15.874197287246636,312.00186401003623,Dry,High
33.44013710898074,766.3656012251215,503.62165113215667,613.7152669524382,22.867491554008332,315.2245164977153,Wet,Mixed
36.2334496552765,835.1101395234602,434.565721520514,762.9720213303374,27.760329645324383,277.5159215414996,Wet,Mixed
32.51667696848316,609.0023183982772,580.1008826897869,492.69404941556155,14.707355996728635,153.00176431104197,Icy,Low
46.27636891047013,667.7927471851783,539.8670525959956,596.2084953929515,14.217840769279723,261.13324839407073,Icy,High
41.33690167796588,547.5972781886121,658.2978066750964,419.0444221218318,1.4211908637430237,77.38802778528881,Snowy,High
41.424959205050506,561.4093101606286,508.0895744474386,341.5978486597456,2.4113603725546353,148.0089937670156,Snowy,Mixed
43.8784308517114,876.5719105856258,420.14236167066025,685.1246392894375,12.425229193580522,1.293939112126541,Snowy,Mixed
41.86432362037351,620.103220513766,495.3461957150072,714.1208515502155,21.77490348728255,321.3081527847913,Dry,Mixed
32.06598902898375,999.117669836849,677.088999753081,339.2780242843569,21.66679910016748,26.07901869827903,Snowy,Mixed
36.41020547414436,834.4872326566588,592.2442730652978,531.1947496337702,28.146821891778206,240.5408792632335,Snowy,Mixed
35.87538669941139,502.4832515275649,651.2753699092352,587.2383741377512,20.50493916812027,37.92545802928136,Snowy,Mixed
33.07956456797818,835.4904662806284,321.32318796154544,710.4698888185821,3.9503507649638294,22.080453310372846,Dry,Mixed
47.561769678816965,783.2026525268425,573.3235784827166,762.4567274277479,21.12847960207344,254.2246328389386,Icy,Mixed
35.9528429525207,946.9699242255369,453.83178154581674,380.3559987705684,12.975941096929851,242.45864445773333,Snowy,Mixed
32.53436209577976,752.4262519514123,421.417021129777,679.8916571889065,29.762910916879143,248.64150735625594,Dry,Mixed
34.79360043321018,841.8182829980067,492.1194883955401,768.5991796810916,5.004379108965875,312.2537480401727,Dry,Mixed
40.63006443601809,557.3712015571203,597.8564420951275,395.01603326216696,14.363173495727128,219.89607886459362,Dry,Mixed
47.833617417508876,965.3633516522946,482.67411727362713,474.5047854959647,16.411970276376348,302.7205190503945,Icy,High
45.37703401842451,923.0783518711464,350.5139819245584,446.88298781292576,25.83942830909031,140.32128945860126,Wet,High
42.615409900178946,932.7780797425607,632.2203668593165,685.1222224624854,5.27880271756501,197.47167164442993,Dry,Mixed
36.73043119840544,924.5660065125296,673.2845747591418,715.0535061542319,8.655456124997144,105.71596672626103,Dry,Mixed
42.908403095370275,751.8929626601415,522.648535554411,756.1390394045384,12.079591509331854,193.72462593158653,Dry,Mixed
35.34148785250133,562.82577755712,450.067571818229,385.8215737285933,25.378567267870427,66.89865559463311,Snowy,Mixed
41.71212525109627,558.0548938176283,479.42330441439475,542.5150608981154,17.833306114313938,329.97509120068895,Snowy,High
43.19186072601201,503.44679115768554,643.5247751304835,557.704190962054,2.433640038931543,246.78002821828167,Wet,High
35.557572466451546,601.56380148665,398.5381399915731,622.0706032014639,14.48797632239364,357.6140725993413,Dry,Mixed
37.16640501698505,729.0591077457058,664.6977082233484,351.5331631919758,11.600351985770669,32.43990453443296,Icy,Mixed
34.489146625280966,991.829826027265,668.1397662013967,710.8712772331728,28.822538794574616,156.79021434003062,Snowy,Mixed
37.5812033472341,871.7208902749217,647.1939508892967,764.4187093176735,18.044506383359717,273.4669812153936,Dry,Mixed
30.72092428463563,966.0561897332166,445.0229256434085,320.5126423115026,7.768098393099898,59.06883394802555,Wet,Mixed
30.79515671178649,908.0460636765029,572.2458586976344,340.9416671182008,7.803389586314346,125.433586688016,Wet,Mixed
47.07350409842832,606.7648336848428,451.0619047084244,610.0421264947943,4.12893368209639,170.4207329829245,Snowy,Mixed
40.755767125931754,918.7004433821155,409.39394528655225,411.2453488019179,13.5470107043708,66.37825740318321,Wet,High
33.056887687530704,600.3101635901373,381.938328725724,356.4535624924664,21.37500676000679,115.39576085043008,Wet,Mixed
39.58213342051767,897.4692943370012,588.0807341094255,365.4309391582011,7.94656366053209,62.84633731897708,Dry,Mixed
37.29565822871991,900.2078308617861,424.63800726781415,569.051079678185,18.693335166484168,226.91769396595583,Wet,Mixed
32.67813482462677,878.6064036002447,689.2650656931276,387.3823097552395,22.68278538858331,238.1241706851246,Icy,Mixed
39.181575948467156,716.5713897543252,692.5079600187165,417.6806235427059,11.422285942543947,253.31877579989563,Dry,Mixed
34.9713338969006,837.9052503001349,540.3565816329356,785.0101721672236,26.303718547324877,217.60051486450587,Dry,Mixed
44.05766579517275,600.2387761996121,612.319754098252,412.9613520758296,4.518873585949938,292.8603762179372,Icy,High
41.99697779643209,989.2030147635221,439.37730572912335,685.7340807096102,28.251101596155415,149.60497355913574,Snowy,Mixed
